267;1000;ATIVO;1;S;20080101;A
267;1001;ATIVO CIRCULANTE;11;S;20080101;A
267;1002;DISPONIVEL;111;S;20080101;A
267;1003;BENS NUMERARIOS;1111;S;20080101;A
267;1004;CAIXA;111101;S;20080101;A
267;1;CAIXA GERAL;1111010001;A;20080101;A
267;1005;BANCOS CONTA MOVIMENTO;1112;S;20080101;A
267;1006;BANCOS CONTA CORRENTE;111201;S;20080101;A
267;2;BANCO SICREDI - C/C 173071;1112010001;A;20190101;A
267;10088;SICOOB ;1112010002;A;20230101;A
267;3;BANCO CAIXA ECONOMICA;1112010003;A;20250101;A
267;1007;APLICACOES LIQUIDEZ IMEDIATA;1113;S;20080101;A
267;10090;STARS FUNDO DE INVESTIMENTO ;1113000001;A;20230101;A
267;1008;APLICACOES FINANCEIRAS;111301;S;20080101;A
267;1009;VALORES A RECEBER A CURTO PRAZO;112;S;20080101;A
267;1010;CLIENTES;1121;S;20080101;A
267;1011;CLIENTES;112101;S;20080101;A
267;501;CLIENTES NACIONAIS ;1121010001;A;20080101;A
267;502;JULIO CESAR PEDRO 86499297887;1121010002;A;20190101;A
267;503;MARCO ANTONIO DIAS SANTOS BASTOS;1121010003;A;20190101;A
267;504;SANTOS E TROTTA COMERCIO DE ALIMENTOS LTDA;1121010004;A;20190101;A
267;505;GONCALVES COMERCIO DE ALIMENTOS LTDA;1121010005;A;20190101;A
267;506;GRENCHEN E KELTERN COMERCIO ALIMENTICIO LTDA;1121010006;A;20190101;A
267;507;MGK COMERCIO ALIMENTICIOS LTDA;1121010007;A;20190101;A
267;508;DANIEL PABLO FRUJUELI BITENCOURT;1121010008;A;20190101;A
267;509;ALIMENTOS IPATINGA EIRELI;1121010009;A;20190101;A
267;510;POCOS COMERCIO DE SORVETES LTDA;1121010010;A;20190101;A
267;511;MCM ESPADILHA LTDA;1121010011;A;20190101;A
267;512;SOLUTION FOOD SERVICE COM.DIST.ALIM.EIRELI;1121010012;A;20190101;A
